WorkCellID,RmsVoltage(V),RmsCurrent(A),Power(W),NominalPower,Load
10,237.4,2.145,232.895,23.29,0
10,237.369,2.147,232.862,23.286,0
10,237.362,2.148,232.845,23.285,0
10,237.418,2.148,232.832,23.283,0
10,237.476,2.148,232.8,23.28,0
10,237.507,2.147,232.99,23.299,0
10,237.526,2.146,232.96,23.296,0
10,237.519,2.146,232.925,23.293,0
10,237.496,2.147,232.897,23.29,0
10,237.462,2.148,232.853,23.285,0
10,237.434,2.147,232.828,23.283,0
10,237.422,2.145,232.796,23.28,0
10,237.407,2.144,232.987,23.299,0
10,237.389,2.142,232.948,23.295,0
10,237.368,2.142,232.915,23.291,0
10,237.347,2.142,232.878,23.288,0
10,237.331,2.141,233.054,23.305,0
10,237.317,2.141,233.197,23.32,0
10,237.305,2.142,233.108,23.311,0
10,237.294,2.142,233.242,23.324,0
10,237.293,2.142,233.164,23.316,0
10,237.29,2.141,233.092,23.309,0
10,237.304,2.14,233.228,23.323,0
10,237.327,2.141,233.144,23.314,0
10,237.346,2.141,233.065,23.306,0
10,237.38,2.143,233.206,23.321,0
10,237.426,2.143,233.321,23.332,0
10,237.472,2.143,233.229,23.323,0
10,237.522,2.143,233.123,23.312,0
10,237.573,2.143,233.254,23.325,0
10,237.627,2.144,233.36,23.336,0
10,237.661,2.144,233.446,23.345,0
10,237.676,2.144,233.331,23.333,0
10,237.687,2.144,233.423,23.342,0
10,237.692,2.144,233.312,23.331,0
10,237.681,2.144,233.408,23.341,0
10,237.657,2.144,233.29,23.329,0
10,237.624,2.144,233.389,23.339,0
10,237.591,2.146,233.47,23.347,0
10,237.542,2.145,233.536,23.354,0
10,237.485,2.144,233.405,23.34,0
10,237.433,2.144,233.287,23.329,0
10,237.405,2.143,233.387,23.339,0
10,237.395,2.142,233.273,23.327,0
10,237.391,2.141,233.159,23.316,0
10,237.398,2.141,233.283,23.328,0
10,237.399,2.141,233.198,23.32,0
10,237.404,2.141,233.129,23.313,0
10,237.401,2.141,232.867,23.287,0
10,237.421,2.141,232.839,23.284,0
10,237.474,2.14,233.022,23.302,0
10,237.521,2.14,232.769,23.277,0
10,237.581,2.141,232.76,23.276,0
10,237.635,2.141,232.752,23.275,0
10,237.66,2.14,232.735,23.274,0
10,237.684,2.139,232.731,23.273,0
10,237.699,2.139,232.739,23.274,0
10,237.694,2.139,232.539,23.254,0
10,237.687,2.139,232.561,23.256,0
10,237.67,2.138,232.59,23.259,0
10,237.644,2.139,232.614,23.261,0
10,237.634,2.14,232.622,23.262,0
10,237.632,2.141,232.64,23.264,0
10,237.633,2.143,232.654,23.265,0
10,237.634,2.143,232.666,23.267,0
10,237.64,2.144,232.686,23.269,0
10,237.641,2.146,232.702,23.27,0
10,237.652,2.145,232.508,23.251,0
10,237.656,2.146,232.547,23.255,0
10,237.644,2.146,232.568,23.257,0
10,237.608,2.145,232.585,23.259,0
10,237.573,2.144,232.599,23.26,0
10,237.529,2.144,232.61,23.261,0
10,237.475,2.143,232.64,23.264,0
10,237.425,2.143,232.654,23.265,0
10,237.366,2.143,232.666,23.267,0
10,237.336,2.143,232.686,23.269,0
10,237.314,2.145,232.712,23.271,0
10,237.296,2.146,232.516,23.252,0
10,237.315,2.147,232.554,23.255,0
10,237.33,2.149,232.79,23.279,0
10,237.334,2.152,232.796,23.28,0
10,237.345,2.153,232.585,23.259,0
10,237.338,2.154,232.61,23.261,0
10,237.284,2.153,232.238,23.224,0
10,237.251,2.153,232.337,23.234,0
10,237.237,2.152,232.222,23.222,0
10,237.219,2.151,231.912,23.191,0
10,237.209,2.151,231.855,23.185,0
10,237.218,2.152,232.015,23.201,0
10,237.229,2.152,232.156,23.216,0
10,237.247,2.153,232.063,23.206,0
10,237.274,2.152,232.185,23.218,0
10,237.291,2.152,232.283,23.228,0
10,237.298,2.152,232.374,23.237,0
10,237.306,2.153,232.458,23.246,0
10,237.324,2.153,232.31,23.231,0
10,237.366,2.151,232.396,23.24,0
10,237.432,2.149,232.466,23.247,0
10,237.492,2.146,232.532,23.253,0
10,237.545,2.145,232.587,23.259,0
10,237.027,2.179,235.658,23.566,1
10,237.054,2.178,235.709,23.571,1
10,237.08,2.177,235.751,23.575,1
10,237.097,2.177,236.002,23.6,1
10,237.107,2.176,236.01,23.601,1
10,237.112,2.175,236.006,23.601,1
10,237.101,2.175,235.993,23.599,1
10,237.084,2.174,235.983,23.598,1
10,237.068,2.173,235.974,23.597,1
10,237.059,2.172,235.977,23.598,1
10,237.053,2.172,235.99,23.599,1
