WorkCellID,RmsVoltage(V),RmsCurrent(A),Power(W),NominalPower,%BeltTension,ActiveZones,LoadCombination,Load
10,239.729,2.387,261.981,26.198,95,0000,0,0
10,239.704,2.389,261.99,26.199,95,0000,0,0
10,239.669,2.387,261.79,26.179,95,0000,0,0
10,239.636,2.386,261.834,26.183,95,0000,0,0
10,239.599,2.384,261.664,26.166,95,0000,0,0
10,239.57,2.382,261.711,26.171,95,0000,0,0
10,239.545,2.382,261.77,26.177,95,0000,0,0
10,239.502,2.383,261.797,26.18,95,0000,0,0
10,239.468,2.382,262.025,26.202,95,0000,0,0
10,239.45,2.383,262.015,26.201,95,0000,0,0
10,239.461,2.382,262.203,26.22,95,0000,0,0
10,239.468,2.383,262.356,26.236,95,0000,0,0
10,239.469,2.384,262.274,26.227,95,0000,0,0
10,239.435,2.382,262.414,26.241,95,0000,0,0
10,239.394,2.381,262.147,26.215,95,0000,0,0
10,239.35,2.38,262.115,26.211,95,0000,0,0
10,239.313,2.378,262.109,26.211,95,0000,0,0
10,239.272,2.377,261.899,26.19,95,0000,0,0
10,239.247,2.377,261.902,26.19,95,0000,0,0
10,239.214,2.377,261.925,26.193,95,0000,0,0
10,239.177,2.378,261.728,26.173,95,0000,0,0
10,239.155,2.377,261.763,26.176,95,0000,0,0
10,239.148,2.378,261.812,26.181,95,0000,0,0
10,239.155,2.378,261.635,26.163,95,0000,0,0
10,239.247,2.378,262.099,26.21,95,0000,0,0
10,239.357,2.379,262.086,26.209,95,0000,0,0
10,239.457,2.379,262.055,26.205,95,0000,0,0
10,239.545,2.379,262.245,26.224,95,0000,0,0
10,239.621,2.38,262.411,26.241,95,0000,0,0
10,239.701,2.381,262.319,26.232,95,0000,0,0
10,239.773,2.381,262.451,26.245,95,0000,0,0
10,239.84,2.381,262.361,26.236,95,0000,0,0
10,239.886,2.38,262.299,26.23,95,0000,0,0
10,239.92,2.38,262.249,26.225,95,0000,0,0
10,239.942,2.38,262.208,26.221,95,0000,0,0
10,239.969,2.379,262.174,26.217,95,0000,0,0
10,239.986,2.378,262.147,26.215,95,0000,0,0
10,239.997,2.376,262.114,26.211,95,0000,0,0
10,239.997,2.376,262.087,26.209,95,0000,0,0
10,239.983,2.375,262.076,26.208,95,0000,0,0
10,239.966,2.375,262.067,26.207,95,0000,0,0
10,239.922,2.375,262.06,26.206,95,0000,0,0
10,239.881,2.374,261.837,26.184,95,0000,0,0
10,239.847,2.373,261.852,26.185,95,0000,0,0
10,239.828,2.375,261.874,26.187,95,0000,0,0
10,239.814,2.375,261.882,26.188,95,0000,0,0
10,239.823,2.375,261.899,26.19,95,0000,0,0
10,239.843,2.377,261.923,26.192,95,0000,0,0
10,239.87,2.378,261.922,26.192,95,0000,0,0
10,239.897,2.379,262.127,26.213,95,0000,0,0
10,239.928,2.38,262.108,26.211,95,0000,0,0
10,239.956,2.381,262.289,26.229,95,0000,0,0
10,239.983,2.382,262.437,26.244,95,0000,0,0
10,240.004,2.385,262.35,26.235,95,0000,0,0
10,240.005,2.386,262.672,26.267,95,0000,0,0
10,240.003,2.39,262.738,26.274,95,0000,0,0
10,239.993,2.39,262.781,26.278,95,0000,0,0
10,239.963,2.391,263.043,26.304,95,0000,0,0
10,239.923,2.394,263.06,26.306,95,0000,0,0
10,239.873,2.395,263.065,26.306,95,0000,0,0
