RMS Current (A),RMS Voltage (V),Load Combinations,%Belt Tension,Power (W),%Power/Nominal_Power,Normalized_Power,Normalized_Belt_Tension,Normalized_Load,Class_3,Class_4,Class_9,NNNormalized_Power,Load,Load1
2.096,239.728,0,0,226,23,0.04,0,0,1,1,1,0.06,0,1
2.081,239.685,0,0,226,23,0.04,0,0,1,1,1,0.06,0,1
2.093,239.844,0,0,226,23,0.04,0,0,1,1,1,0.06,0,1
2.093,239.885,0,0,226,23,0.04,0,0,1,1,1,0.06,0,1
2.091,239.906,0,0,226,23,0.04,0,0,1,1,1,0.06,0,1
2.088,239.799,0,0,225,23,0.03,0,0,1,1,1,0.05,0,1
2.093,239.875,0,0,225,23,0.03,0,0,1,1,1,0.05,0,1
2.094,239.751,0,0,225,23,0.03,0,0,1,1,1,0.05,0,1
2.096,239.67,0,0,225,23,0.03,0,0,1,1,1,0.05,0,1
2.085,239.534,0,0,225,23,0.03,0,0,1,1,1,0.05,0,1
2.093,239.422,0,0,225,23,0.03,0,0,1,1,1,0.05,0,1
2.085,239.356,0,0,225,23,0.03,0,0,1,1,1,0.05,0,1
2.095,239.333,0,0,225,23,0.03,0,0,1,1,1,0.05,0,1
2.106,239.722,0,0,226,23,0.04,0,0,1,1,1,0.06,0,1
2.103,239.797,0,0,226,23,0.04,0,0,1,1,1,0.06,0,1
2.107,239.746,0,0,227,23,0.06,0,0,1,1,1,0.07,0,1
2.106,239.666,0,0,227,23,0.06,0,0,1,1,1,0.07,0,1
2.105,239.601,0,0,227,23,0.06,0,0,1,1,1,0.07,0,1
2.109,239.404,0,0,226,23,0.04,0,0,1,1,1,0.06,0,1
2.103,239.4,0,0,227,23,0.06,0,0,1,1,1,0.07,0,1
2.107,239.359,0,0,227,23,0.06,0,0,1,1,1,0.07,0,1
2.112,239.34,0,0,227,23,0.06,0,0,1,1,1,0.07,0,1
2.112,239.343,0,0,228,23,0.07,0,0,1,1,1,0.08,0,1
2.118,239.32,0,0,228,23,0.07,0,0,1,1,1,0.08,0,1
2.116,239.465,0,0,228,23,0.07,0,0,1,1,1,0.08,0,1
2.117,239.455,0,0,228,23,0.07,0,0,1,1,1,0.08,0,1
