RMS Current (A),RMS Voltage (V),Load Combinations,%Belt Tension,Power (W),%Power/Nominal_Power,Normalized_Power,Normalized_Belt_Tension,Normalized_Load,Class_3,Class_4,Class_9,NNNormalized_Power,Load,Load1
2.551,236.844,11,95,274,28,0.75,1,0.73,3,4,9,0.54,3,2
2.167,240.126,4,75,243,25,0.29,0.79,0.27,2,2,7,0.23,1,1
2.172,237.482,14,85,246,25,0.34,0.89,0.93,2,3,8,0.26,3,2
2.148,240.311,2,75,241,25,0.26,0.79,0.13,2,2,7,0.21,1,1
2.559,237.095,7,95,278,28,0.81,1,0.47,3,4,9,0.58,3,2
2.118,240.231,1,70,233,24,0.15,0.74,0.07,1,1,6,0.13,1,1
2.147,240.17,1,75,240,24,0.25,0.79,0.07,2,2,7,0.2,1,1
2.551,237.543,15,95,281,29,0.85,1,1,3,4,9,0.61,4,2
2.164,236.683,6,85,246,24,0.34,0.89,0.4,2,3,8,0.26,2,2
2.135,240.302,0,85,236,24,0.19,0.89,0,2,3,8,0.16,0,1
2.38,237.235,1,95,266,27,0.63,1,0.07,3,4,9,0.46,1,1
2.476,237.182,5,95,273,28,0.74,1,0.33,3,4,9,0.53,2,2
2.254,237.418,7,85,250,25,0.4,0.89,0.47,2,3,8,0.3,3,2
2.174,237.028,11,85,242,25,0.28,0.89,0.73,2,3,8,0.22,3,2
2.348,237.473,0,95,262,27,0.57,1,0,3,4,9,0.42,0,1
2.131,239.84,0,30,233,24,0.15,0.32,0,1,1,3,0.13,0,1
2.516,237.565,6,95,278,28,0.81,1,0.4,3,4,9,0.58,2,2
2.418,237.616,10,95,270,27,0.69,1,0.67,3,4,9,0.5,2,2
2.181,240.732,3,85,242,25,0.28,0.89,0.2,2,3,8,0.22,2,2
2.177,240.393,10,85,241,25,0.26,0.89,0.67,2,3,8,0.21,2,2
2.104,240.227,0,60,233,24,0.15,0.63,0,1,1,5,0.13,0,1
2.157,239.933,11,75,241,25,0.26,0.79,0.73,2,2,7,0.21,3,2
2.15,240.6,0,85,239,24,0.24,0.89,0,2,3,8,0.19,0,1
2.18,239.968,10,85,242,25,0.28,0.89,0.67,2,3,8,0.22,2,2
2.156,240.094,1,75,239,24,0.24,0.79,0.07,2,2,7,0.19,1,1
2.158,239.443,11,75,242,25,0.28,0.79,0.73,2,2,7,0.22,3,2
2.16,240.781,2,75,242,25,0.28,0.79,0.13,2,2,7,0.22,1,1
2.132,239.485,0,30,232,24,0.13,0.32,0,1,1,3,0.12,0,1
2.362,237.373,1,95,265,27,0.62,1,0.07,3,4,9,0.45,1,1
2.475,237.18,14,95,282,29,0.87,1,0.93,3,4,9,0.62,3,2
2.174,237.348,13,85,239,24,0.24,0.89,0.87,2,3,8,0.19,3,2
2.496,237.338,3,95,272,28,0.72,1,0.2,3,4,9,0.52,2,2
2.375,237,9,95,266,27,0.63,1,0.6,3,4,9,0.46,2,2
2.412,236.966,13,95,276,28,0.78,1,0.87,3,4,9,0.56,3,2
2.172,237.225,13,85,240,24,0.25,0.89,0.87,2,3,8,0.2,3,2
2.153,237.149,13,85,239,24,0.24,0.89,0.87,2,3,8,0.19,3,2
2.105,239.696,0,30,226,23,0.04,0.32,0,1,1,3,0.06,0,1
2.485,236.975,5,95,272,28,0.72,1,0.33,3,4,9,0.52,2,2
2.415,237.993,2,95,268,27,0.66,1,0.13,3,4,9,0.48,1,1
2.157,240.355,8,85,240,24,0.25,0.89,0.53,2,3,8,0.2,1,1
2.532,236.759,7,95,276,28,0.78,1,0.47,3,4,9,0.56,3,2
2.408,237.264,11,95,274,28,0.75,1,0.73,3,4,9,0.54,3,2
2.209,240.324,3,75,246,25,0.34,0.79,0.2,2,2,7,0.26,2,2
2.17,240.307,0,70,237,24,0.21,0.74,0,1,1,6,0.17,0,1
2.417,237.27,5,95,273,28,0.74,1,0.33,3,4,9,0.53,2,2
