RMS Current (A),RMS Voltage (V),PF,Power(KW),Power (W),%Power/Nominal_Power,Label,Class,Time
2.191,236.882,0.434,0.231,231.34,23.134,0,1,"04/30/2021, 16:45:17"
2.192,236.859,0.434,0.232,231.488,23.149,0,1,"04/30/2021, 16:45:18"
2.192,236.817,0.434,0.232,231.549,23.155,0,1,"04/30/2021, 16:45:19"
2.191,236.785,0.434,0.232,231.572,23.157,0,1,"04/30/2021, 16:45:20"
2.19,236.77,0.434,0.232,231.633,23.163,0,1,"04/30/2021, 16:45:21"
2.191,236.789,0.434,0.232,231.697,23.17,0,1,"04/30/2021, 16:45:22"
2.192,236.817,0.434,0.232,231.789,23.179,0,1,"04/30/2021, 16:45:23"
2.193,236.87,0.434,0.232,231.847,23.185,0,1,"04/30/2021, 16:45:24"
2.194,236.922,0.434,0.232,231.893,23.189,0,1,"04/30/2021, 16:45:25"
2.194,236.962,0.434,0.232,231.89,23.189,0,1,"04/30/2021, 16:45:26"
2.194,236.974,0.434,0.232,231.886,23.189,0,1,"04/30/2021, 16:45:27"
2.191,236.963,0.434,0.232,231.724,23.172,0,1,"04/30/2021, 16:45:28"
2.19,236.924,0.434,0.231,231.572,23.157,0,1,"04/30/2021, 16:45:29"
2.189,236.869,0.434,0.231,231.389,23.139,0,1,"04/30/2021, 16:45:30"
2.188,236.815,0.434,0.231,231.24,23.124,0,1,"04/30/2021, 16:45:31"
2.187,236.76,0.434,0.231,231.056,23.106,0,1,"04/30/2021, 16:45:32"
2.186,236.725,0.434,0.231,230.967,23.097,0,1,"04/30/2021, 16:45:33"
2.187,236.702,0.434,0.231,231.056,23.106,0,1,"04/30/2021, 16:45:34"
2.187,236.689,0.433,0.231,231.066,23.107,0,1,"04/30/2021, 16:45:35"
2.187,236.688,0.434,0.231,231.035,23.104,0,1,"04/30/2021, 16:45:36"
2.187,236.69,0.434,0.231,230.989,23.099,0,1,"04/30/2021, 16:45:37"
2.187,236.725,0.433,0.231,231.017,23.102,0,1,"04/30/2021, 16:45:38"
2.189,236.78,0.433,0.231,231.038,23.104,0,1,"04/30/2021, 16:45:39"
2.19,236.833,0.433,0.231,231.072,23.107,0,1,"04/30/2021, 16:45:40"
2.191,236.882,0.433,0.231,231.162,23.116,0,1,"04/30/2021, 16:45:41"
