Workstation_ID,RMS_Current(A),RMS_Voltage(V),PF,Power(W),Power(KW)
9,2.91,241.597,0.481,345.078,0.345
9,2.91,241.597,0.481,345.078,0.345
9,2.926,241.568,0.479,347.25,0.347
9,2.933,241.56,0.481,348.929,0.349
9,2.935,241.556,0.481,349.444,0.349
9,2.926,241.55,0.481,348.962,0.349
9,2.933,241.549,0.482,350.434,0.35
9,2.945,241.569,0.481,351.612,0.352
9,2.922,241.543,0.481,349.157,0.349
9,2.929,241.558,0.479,348.532,0.349
9,2.931,241.616,0.479,348.415,0.348
9,2.924,241.615,0.479,348.229,0.348
9,2.94,241.644,0.482,351.575,0.352
9,2.932,241.634,0.48,349.079,0.349
9,2.931,241.629,0.48,348.639,0.349
9,2.925,241.613,0.479,348.32,0.348
9,2.924,241.58,0.48,348.439,0.348
9,2.936,241.55,0.482,350.774,0.351
9,2.946,241.518,0.48,351.135,0.351
9,2.953,241.474,0.481,352.155,0.352
9,2.977,241.412,0.481,355.012,0.355
9,2.982,241.347,0.482,356.355,0.356
9,2.981,241.313,0.482,356.462,0.356
9,3.009,241.271,0.483,360.31,0.36
9,3,241.244,0.481,358.525,0.359
9,2.993,241.205,0.481,357.732,0.358
9,2.997,241.178,0.481,358.162,0.358
9,2.99,241.186,0.48,356.78,0.357
9,2.997,241.219,0.483,359.193,0.359
9,3.008,241.257,0.481,360.312,0.36
9,2.996,241.272,0.48,357.771,0.358
9,2.959,241.28,0.479,352.754,0.353
9,2.931,241.299,0.481,350.872,0.351
9,2.922,241.347,0.481,349.657,0.35
9,2.938,241.356,0.483,351.682,0.352
9,2.928,241.412,0.482,350.259,0.35
9,2.929,241.503,0.481,350.231,0.35
9,2.925,241.568,0.482,349.838,0.35
9,2.92,241.653,0.482,349.234,0.349
9,2.924,241.758,0.482,350.234,0.35
9,2.938,241.727,0.481,351.53,0.352
9,2.926,241.806,0.481,349.816,0.35
9,2.93,241.721,0.481,349.634,0.35
9,2.918,241.677,0.482,349.15,0.349
9,2.909,241.663,0.482,348.398,0.348
9,2.939,241.543,0.486,352.898,0.353
9,2.924,241.574,0.482,350.377,0.35
9,2.924,241.504,0.481,349.171,0.349
9,2.924,241.437,0.481,349.293,0.349
9,2.922,241.396,0.48,348.9,0.349
9,2.928,241.341,0.481,350.235,0.35
9,2.941,241.352,0.48,351.531,0.352
9,2.924,241.352,0.48,349.505,0.35
9,2.921,241.318,0.482,350.234,0.35
9,2.917,241.345,0.482,349.535,0.35
9,2.918,241.381,0.481,348.937,0.349
9,2.943,241.382,0.483,352.696,0.353
9,2.938,241.378,0.481,350.987,0.351
9,2.933,241.411,0.48,350.224,0.35
9,2.939,241.462,0.482,351.221,0.351
9,2.963,241.477,0.482,354.186,0.354
9,2.993,241.539,0.483,358.206,0.358
9,3.012,241.594,0.482,360.49,0.36
9,2.999,241.637,0.482,358.849,0.359
9,3.001,241.642,0.482,358.731,0.359
9,2.99,241.636,0.482,357.435,0.357
9,2.985,241.617,0.482,356.904,0.357
9,3.013,241.641,0.484,361.246,0.361
9,3.048,241.614,0.483,363.544,0.364
9,2.999,241.616,0.478,357.668,0.358
9,2.956,241.611,0.48,352.884,0.353
9,2.935,241.583,0.48,349.948,0.35
9,2.93,241.572,0.483,351.281,0.351
9,2.942,241.521,0.481,351.232,0.351
9,2.925,241.509,0.481,349.382,0.349
9,2.919,241.503,0.482,349.318,0.349
9,2.911,241.521,0.482,348.293,0.348
9,2.963,241.543,0.484,355.281,0.355
9,2.963,241.543,0.484,355.281,0.354
9,2.963,241.543,0.484,355.281,0.354
9,2.963,241.543,0.484,355.281,0.355
9,2.963,241.543,0.484,355.281,0.355
9,2.963,241.543,0.484,355.281,0.355
9,2.963,241.503,0.483,354.713,0.355
9,2.968,241.466,0.483,356.06,0.356
9,2.985,241.373,0.486,359.32,0.359
9,3.004,241.374,0.483,360.365,0.36
9,2.982,241.354,0.483,358.236,0.358
9,2.977,241.335,0.485,358.653,0.359
9,2.975,241.249,0.484,357.403,0.357
9,2.975,241.207,0.483,356.58,0.357
9,2.995,241.197,0.486,361.224,0.361
9,2.993,241.237,0.482,359.17,0.359
9,2.986,241.185,0.482,358.169,0.358
9,2.976,241.25,0.482,357.586,0.358
9,2.981,241.238,0.481,357.209,0.357
9,2.994,241.256,0.483,358.814,0.359
9,3.005,241.26,0.482,360.157,0.36
9,2.991,241.285,0.482,358.401,0.358
9,2.991,241.346,0.483,358.686,0.359
9,2.986,241.42,0.483,357.417,0.357
9,2.987,241.519,0.484,358.726,0.359
9,3.006,241.593,0.485,361.375,0.361
9,2.997,241.614,0.483,359.405,0.359
9,2.985,241.557,0.485,359.021,0.359
9,2.975,241.454,0.486,358.863,0.359
9,2.98,241.432,0.484,358.182,0.358
9,2.993,241.306,0.486,359.767,0.36
9,3.003,241.241,0.484,361.102,0.361
9,2.986,241.21,0.483,358.85,0.359
9,2.989,241.131,0.483,358.482,0.358
9,2.985,241.131,0.483,358.601,0.359
9,2.981,241.091,0.483,358.629,0.359
9,3.004,241.14,0.485,361.197,0.361
9,3,241.219,0.483,360.268,0.36
9,2.99,241.335,0.484,359.312,0.359
9,2.984,241.451,0.483,358.054,0.358
9,2.983,241.541,0.484,358.156,0.358
9,2.987,241.602,0.486,359.313,0.359
9,2.999,241.625,0.485,361.055,0.361
9,2.993,241.618,0.484,359.08,0.359
9,2.992,241.6,0.485,359.442,0.359
9,2.987,241.556,0.484,358.724,0.359
9,2.994,241.396,0.484,359.435,0.359
9,3.009,241.366,0.486,361.7,0.362
9,2.995,241.282,0.483,359.781,0.36
9,2.985,241.164,0.484,359.001,0.359
9,2.983,241.176,0.484,358.121,0.358
9,2.978,241.134,0.483,357.317,0.357
9,2.978,241.133,0.485,358.547,0.359
9,2.995,241.105,0.485,361.184,0.361
9,2.982,241.055,0.484,358.267,0.358
9,2.978,241.059,0.485,358.936,0.359
9,2.974,241.076,0.484,358.344,0.358
9,2.976,241.095,0.485,358.24,0.358
9,2.993,241.12,0.488,361.904,0.362
9,2.962,241.1,0.484,357.308,0.357
9,2.933,241.117,0.485,353.679,0.354
9,2.924,241.133,0.485,351.833,0.352
9,2.916,241.083,0.484,351.014,0.351
9,2.918,241.085,0.486,352.3,0.352
9,2.939,241.059,0.485,354.378,0.354
9,2.933,241.153,0.485,353.096,0.353
9,2.926,241.213,0.484,352.259,0.352
9,2.923,241.199,0.484,352.089,0.352
9,2.925,241.194,0.484,351.292,0.351
9,2.943,241.14,0.486,354.832,0.355
9,2.935,241.108,0.483,353.413,0.353
9,2.929,241.106,0.484,351.946,0.352
9,2.927,241.083,0.483,351.427,0.351
9,2.919,241.087,0.484,351.021,0.351
9,2.924,241.12,0.486,352.414,0.352
9,2.948,241.157,0.484,353.67,0.354
9,2.925,241.185,0.484,351.801,0.352
9,2.93,241.247,0.485,352.595,0.353
9,2.932,241.294,0.484,352.192,0.352
9,2.924,241.285,0.484,351.334,0.351
9,2.939,241.317,0.486,354.406,0.354
9,2.937,241.341,0.485,353.994,0.354
9,2.933,241.341,0.485,352.211,0.352
9,2.929,241.335,0.483,351.647,0.352
9,2.935,241.383,0.483,352.358,0.352
9,2.939,241.362,0.484,352.407,0.352
9,2.958,241.36,0.484,354.866,0.355
9,2.946,241.389,0.485,354.854,0.355
9,2.98,241.382,0.485,358.404,0.358
9,2.998,241.462,0.484,359.435,0.359
9,2.996,241.471,0.484,359.858,0.36
9,3.01,241.517,0.486,363.01,0.363
9,3.006,241.52,0.483,361.01,0.361
9,2.998,241.507,0.483,359.477,0.359
9,2.996,241.56,0.483,359.563,0.36
9,2.991,241.533,0.482,358.157,0.358
9,3.001,241.552,0.483,359.029,0.359
9,3.021,241.61,0.483,362.629,0.363
9,3.003,241.639,0.483,360.722,0.361
9,3,241.702,0.485,360.807,0.361
9,2.99,241.728,0.484,359.422,0.359
9,2.981,241.74,0.485,358.855,0.359
9,2.994,241.761,0.487,362.155,0.362
9,2.999,241.679,0.485,360.972,0.361
9,2.986,241.595,0.486,360.355,0.36
9,2.98,241.56,0.485,359.098,0.359
9,2.979,241.415,0.486,358.722,0.359
9,2.986,241.266,0.485,359.122,0.359
9,3.005,241.172,0.485,361.974,0.362
9,2.996,241.074,0.484,360.205,0.36
9,2.998,241.015,0.484,360.034,0.36
9,2.984,240.973,0.483,358.101,0.358
9,2.974,240.992,0.484,358.175,0.358
9,3.001,241.049,0.488,362.32,0.362
9,3.003,241.097,0.484,361.039,0.361
9,2.993,241.151,0.484,359.455,0.359
9,2.99,241.16,0.484,359.11,0.359
9,2.988,241.152,0.484,358.727,0.359
9,2.993,241.185,0.486,360.129,0.36
9,3.022,241.23,0.486,363.502,0.364
9,2.999,241.258,0.485,360.81,0.361
9,2.996,241.343,0.485,359.977,0.36
9,2.982,241.374,0.484,358.389,0.358
